id;;nom;tel;adresse;CP;Ville;;;;;;;
113;*;CCA-WAD;01 47 61 10 60;1 Avenue Pierre Grenier;92100;Boulogne Billancourt;;;;;;;
114;*;Voyages Viazur Mathez;01 46 94 07 58;7 Place Rene Clair;92100;Boulogne Billancourt;;;;;;;
115;*;Fast Visa;01 41 41 50 40;107 Rue du Château;92100;Boulogne Billancourt;;;;;;;
116;*;OMNICOM MEDIA GROUP;01 74 31 55 00;11 Avenue André Morizet;92100;Boulogne Billancourt;;;;;;;
117;*;Platine;01 46 21 99 74;8 Rue Traversière;92100;Boulogne Billancourt;;;;;;;
118;*;Bemex Tours;;4 Avenue;92100;Boulogne Billancourt;;;;;;;
119;*;C'Prism;09 60 04 15 29;28 Rue Mahias;92100;Boulogne Billancourt;;;;;;;
120;*;SERVICE;09 62 28 09 43;162 Rue de Billancourt;92100;Boulogne Billancourt;;;;;;;
121;*;Cycom;01 46 21 86 60;78 Boulevard de la République;92100;Boulogne Billancourt;;;;;;;
122;*;Export Travel Conseil;01 46 05 80 70;33 Rue D Aguesseau;92100;Boulogne Billancourt;;;;;;;
123;*;Public Relations and Travel;*;13 Rue de l Eglise;92100;Boulogne Billancourt;;;;;;;
124;*;Renommée;01 46 10 07 07;69 Rue Danjou;92100;Boulogne Billancourt;;;;;;;
125;*;Carte Blanche;01 46 10 32 44;252 Avenue Pierre Grenier;92100;Boulogne Billancourt;;;;;;;
126;*;Terra Nova;01 46 09 80 70;69 Avenue du Gal Leclerc;92100;Boulogne Billancourt;;;;;;;
127;*;Illusio;01 46 09 98 63;67 Avenue Pierre Grenier;92100;Boulogne Billancourt;;;;;;;
128;*;Project Events;01 55 38 99 00;83 B Rue Thiers;92100;Boulogne Billancourt;;;;;;;
129;*;Conseil Media;01 46 05 95 60;8 Rue de la Ferme;92100;Boulogne Billancourt;;;;;;;
130;*;Global Com;01 41 31 45 50;36 Quai Alphonse le Gallo;92100;Boulogne Billancourt;;;;;;;
131;*;OMD;01 74 31 55 00;11 Avenue André Morizet;92100;Boulogne Billancourt;;;;;;;
132;*;Visavu;01 55 60 07 87;3 Avenue André Morizet;92100;Boulogne Billancourt;;;;;;;
133;*;17 juin Média;01 49 10 57 10;75 T Rue du Point du Jour;92100;Boulogne Billancourt;;;;;;;
134;*;Eventeam;01 49 10 04 74;75 C Rue du Point du Jour;92100;Boulogne Billancourt;;;;;;;
135;*;TBWA Paris;01 49 09 02 85;162 Rue de Billancourt;92100;Boulogne Billancourt;;;;;;;
136;*;Pauline Formalités;09 67 47 28 19;6 Villa Pauline;92100;Boulogne Billancourt;;;;;;;
137;*;Polyvalence;01 46 04 19 05;54 Rue d Aguesseau;92100;Boulogne Billancourt;;;;;;;
138;*;Wb Conseil;01 55 19 80 02;56 Rue De Paris;92100;Boulogne Billancourt;;;;;;;
139;*;BBDO Services;01 41 23 42 17;93 Rue Nationale;92100;Boulogne Billancourt;;;;;;;
140;*;Archypel;01 46 21 14 17;16 Rue De Solferino;92100;Boulogne Billancourt;;;;;;;
141;*;Idille;01 41 31 85 85;164 T Rue D Aguesseau;92100;Boulogne Billancourt;;;;;;;
142;*;Cabinet Moliere;01 84 19 09 09;21Qu Alphonse Le Gallo;92100;Boulogne Billancourt;;;;;;;
143;*;Agence de Recherche Promotionnelle;01 46 89 78 77;131 B Rue De Billancourt;92100;Boulogne Billancourt;;;;;;;
144;*;Agence Générale de Nettoyage;;35 Rue des Abondances;92100;Boulogne Billancourt;;;;;;;
145;*;Agn Agence Generale De Nettoyage;01 46 05 53 23;35 Rue des Abondances;92100;Boulogne Billancourt;;;;;;;
146;*;AGIR AGENCE IMMOBILIERE DE BOULOGNE;01 46 05 10 10;99 Avenue JEAN BAPTISTE CLEMENT;92100;BOULOGNE BILLANCOURT;;;;;;;
147;*;Agir Agence Immobilière de Boulogne;01 46 05 10 11;99 Av Jean Baptiste Clement;92100;Boulogne Billancourt;;;;;;;
148;*;A.A.A.S.S. (Agence Assistance De Assures Sos Serrurier);08 00 25 78 95;6 Place Abel Gance;92100;Boulogne Billancourt;;;;;;;
